# Minecraft launcher log started at 2026-03-27 20:47:32
# Profile: QSMP2 original 


[20:47:36] [main] [cpw.mods.modlauncher.Launcher/INFO]: ModLauncher running: args [--username, Dragonek_, --version, 1.21.1, --gameDir, C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original, --assetsDir, C:\Users\Bartosz\AppData\Roaming\ModrinthApp\meta\assets, --assetIndex, 17, --uuid, b3fb43f2264846648e22bb975747a01e, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, c4502edb-87c6-40cb-b595-64a280cf8906, --xuid, 0, --userType, msa, --versionType, release, --width, 854, --height, 480, --fml.neoForgeVersion, 21.1.219, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient]
[20:47:36] [main] [cpw.mods.modlauncher.Launcher/INFO]: JVM identified as Azul Systems, Inc. OpenJDK 64-Bit Server VM 21.0.10+7-LTS
[20:47:36] [main] [cpw.mods.modlauncher.Launcher/INFO]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.10 by Azul Systems, Inc.; OS Windows 11 arch amd64 version 10.0
[20:47:41] [main] [net.neoforged.fml.loading.ImmediateWindowHandler/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[20:47:41] [main] [EARLYDISPLAY/INFO]: Trying GL version 4.6
[20:47:41] [main] [EARLYDISPLAY/INFO]: Requested GL version 4.6 got version 4.6
[20:47:41] [main] [mixin/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/Bartosz/AppData/Roaming/ModrinthApp/meta/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23166!/ Service=ModLauncher Env=CLIENT
[20:47:41] [pool-2-thread-1] [EARLYDISPLAY/INFO]: GL info: NVIDIA GeForce RTX 3060 Ti/PCIe/SSE2 GL version 4.6.0 NVIDIA 581.57, NVIDIA Corporation
[20:47:41] [main] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/INFO]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.219:client]
[20:47:41] [main] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/INFO]: Found mod file "neoforge-21.1.219-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[C:\Users\Bartosz\AppData\Roaming\ModrinthApp\meta\libraries\net\neoforged\neoforge\21.1.219\neoforge-21.1.219-universal.jar]], reader: mod manifest]
[20:47:41] [main] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/INFO]: Found mod file "[1.21.1] SecurityCraft v1.10.1.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
[20:47:41] [main] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/INFO]: Found mod file "[neoforge]ctov-3.6.2b.jar" [locator: {mods folder locator at C:\Users\Bartosz\AppData\Roaming\ModrinthApp\profiles\QSMP2 original\mods}, reader: mod manifest]
